id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
2,1,76,1,3,0,0,0,33536,26,183,0
4,1,21,1,11,1,1,0,28619,152,203,0
5,0,29,1,41,1,1,0,27496,152,39,0
6,0,24,1,33,0,1,1,2630,160,176,0
7,1,23,1,11,0,1,1,23367,152,249,0
9,0,24,1,3,1,1,0,27619,152,28,0
10,0,32,1,6,1,1,0,28771,152,80,0
12,0,24,1,50,1,1,0,48699,152,289,0
13,0,41,1,15,1,0,0,31409,14,221,0
14,1,76,1,28,0,0,1,36770,13,15,0
15,1,71,1,28,1,0,0,46818,30,58,0
17,0,25,1,45,0,1,1,26218,160,256,0
18,0,25,1,35,1,1,0,46622,152,299,0
19,1,42,1,28,0,0,1,33667,124,158,0
21,1,65,1,28,0,0,1,41184,124,116,0
22,1,49,1,28,0,0,1,50791,124,177,0
23,1,23,1,50,1,1,0,45283,152,232,0
24,1,44,1,28,0,0,1,41852,163,60,0
25,1,34,1,15,1,0,0,38111,152,180,0
26,0,21,1,28,1,1,0,61964,152,72,0
28,1,26,1,6,1,1,0,19135,152,57,0
29,0,25,1,8,1,1,0,27946,152,223,0
31,0,26,1,8,0,1,0,2630,160,136,0
32,1,79,1,28,0,0,1,57444,26,222,0
33,0,48,1,28,0,0,1,36951,122,149,0
34,0,24,1,36,0,1,1,43129,152,49,0
35,0,32,1,30,1,1,0,27638,152,169,0
36,1,41,1,36,1,0,0,30039,124,88,0
37,1,71,1,8,1,0,0,40903,19,253,0
38,0,25,1,28,1,1,0,76251,152,107,0
39,1,45,1,8,0,0,1,42297,124,264,0
40,1,72,1,41,1,0,0,32210,152,233,0
41,1,30,1,30,0,1,1,24550,124,45,0
42,0,54,1,28,0,0,0,38560,122,184,0
43,1,27,1,41,0,1,0,21078,152,251,0
44,0,38,1,35,1,0,0,2630,152,153,0
45,0,26,1,30,1,1,0,31136,152,186,0
46,1,56,1,28,0,0,1,34617,124,71,0
47,0,29,1,15,1,1,0,32923,152,34,0
48,1,51,1,26,1,0,0,33761,22,83,0
49,0,25,1,15,0,1,0,38667,152,12,0
50,1,48,1,3,0,0,0,38233,124,246,0
51,0,22,1,50,0,1,0,15052,152,141,0
52,1,22,1,16,0,1,1,30673,152,216,0
53,0,49,1,3,1,0,0,25553,152,130,0
54,1,78,1,41,1,0,0,49491,26,282,0
55,0,44,1,28,0,0,1,45415,13,73,0
56,0,20,1,47,0,1,1,25380,160,171,0
57,1,39,1,28,0,0,1,57582,26,141,0
59,0,62,1,48,0,0,1,2630,15,295,0
60,1,29,1,3,1,1,0,35463,152,165,0
61,1,49,1,8,0,0,1,2630,156,30,0
62,0,20,1,50,0,1,1,36615,160,218,0
63,0,62,1,28,0,2,1,33830,26,130,0
64,1,58,1,19,1,0,0,39661,26,141,0
65,1,39,1,15,0,0,1,37849,124,22,0
66,0,59,1,30,0,0,1,34426,26,147,0
67,1,41,1,28,0,0,1,42268,154,36,0
68,1,60,1,28,0,0,1,66338,124,73,0
69,1,63,1,28,1,0,0,61739,124,79,0
71,1,44,1,47,0,0,1,46481,16,100,0
72,0,27,1,11,0,1,1,34587,26,63,0
73,0,23,1,39,1,1,0,40372,152,242,0
74,1,50,1,28,1,0,0,27784,26,277,0
75,1,59,1,23,0,0,0,27865,124,39,0
76,0,59,1,26,1,0,0,35649,122,136,0
77,1,67,1,28,1,0,0,31993,122,61,0
78,0,27,1,33,1,1,0,35512,152,111,0
80,1,77,1,37,1,0,0,40651,124,183,0
81,1,54,1,26,0,0,1,35493,22,74,0
82,0,28,1,28,1,1,0,38529,152,235,0
83,0,39,1,8,1,0,0,34735,152,131,0
84,0,39,1,5,0,0,1,31760,26,141,0
85,1,69,1,28,0,0,1,29802,122,158,0
86,0,21,1,17,0,1,1,27756,160,243,0
87,0,54,1,47,0,2,1,32873,26,248,0
88,1,25,1,23,0,1,1,23537,152,58,0
89,0,23,1,35,1,1,0,27606,160,114,0
91,0,25,1,50,1,1,0,31556,152,62,0
92,0,26,1,30,1,1,0,31791,152,189,0
93,1,77,1,28,0,0,1,36099,124,139,0
94,0,28,1,41,0,0,0,2630,156,138,0
95,0,23,1,15,0,1,1,41641,152,209,0
96,0,23,1,30,0,1,0,26689,152,254,0
97,1,50,1,28,0,0,1,46995,52,291,0
98,0,62,1,28,0,2,1,41892,155,114,0
99,0,21,1,2,0,1,1,34274,152,79,0
100,0,24,1,7,1,1,1,2630,160,68,0
101,1,52,1,28,1,0,0,36033,26,92,0
102,1,24,1,3,1,1,0,28139,152,52,0
103,0,20,1,30,0,1,1,33227,160,78,0
104,0,22,1,8,1,1,0,39816,152,156,0
